Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 8239420k(1205908k free), swap 17590580k(2318448k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2020-10-28T18:11:44.416+0800: 0.158: [GC (Allocation Failure) [PSYoungGen: 65487K->10741K(76288K)] 65487K->19453K(251392K), 0.0053946 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T18:11:44.436+0800: 0.178: [GC (Allocation Failure) [PSYoungGen: 76277K->10740K(76288K)] 84989K->44558K(251392K), 0.0082741 secs] [Times: user=0.05 sys=0.06, real=0.01 secs] 
2020-10-28T18:11:44.453+0800: 0.196: [GC (Allocation Failure) [PSYoungGen: 76276K->10741K(76288K)] 110094K->64861K(251392K), 0.0064746 secs] [Times: user=0.00 sys=0.13, real=0.01 secs] 
2020-10-28T18:11:44.468+0800: 0.210: [GC (Allocation Failure) [PSYoungGen: 76277K->10748K(76288K)] 130397K->83132K(251392K), 0.0057730 secs] [Times: user=0.00 sys=0.13, real=0.01 secs] 
2020-10-28T18:11:44.483+0800: 0.226: [GC (Allocation Failure) [PSYoungGen: 76284K->10749K(76288K)] 148668K->105542K(251392K), 0.0070718 secs] [Times: user=0.08 sys=0.05, real=0.01 secs] 
2020-10-28T18:11:44.500+0800: 0.242: [GC (Allocation Failure) [PSYoungGen: 76285K->10741K(40448K)] 171078K->127019K(215552K), 0.0068625 secs] [Times: user=0.02 sys=0.05, real=0.01 secs] 
2020-10-28T18:11:44.512+0800: 0.254: [GC (Allocation Failure) [PSYoungGen: 40437K->15075K(58368K)] 156715K->134860K(233472K), 0.0031557 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T18:11:44.519+0800: 0.262: [GC (Allocation Failure) [PSYoungGen: 44771K->25454K(58368K)] 164556K->147085K(233472K), 0.0045560 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T18:11:44.528+0800: 0.271: [GC (Allocation Failure) [PSYoungGen: 54584K->28605K(58368K)] 176215K->156750K(233472K), 0.0055759 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T18:11:44.537+0800: 0.280: [GC (Allocation Failure) [PSYoungGen: 58150K->21933K(58368K)] 186295K->168667K(233472K), 0.0068644 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T18:11:44.545+0800: 0.287: [Full GC (Ergonomics) [PSYoungGen: 21933K->0K(58368K)] [ParOldGen: 146733K->144532K(175104K)] 168667K->144532K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0250469 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2020-10-28T18:11:44.574+0800: 0.316: [GC (Allocation Failure) [PSYoungGen: 29696K->13373K(58368K)] 174228K->157905K(233472K), 0.0026453 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T18:11:44.582+0800: 0.324: [GC (Allocation Failure) [PSYoungGen: 42424K->14241K(58368K)] 186956K->171252K(233472K), 0.0048463 secs] [Times: user=0.11 sys=0.02, real=0.00 secs] 
2020-10-28T18:11:44.587+0800: 0.329: [Full GC (Ergonomics) [PSYoungGen: 14241K->0K(58368K)] [ParOldGen: 157010K->164347K(175104K)] 171252K->164347K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0252904 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-10-28T18:11:44.618+0800: 0.360: [Full GC (Ergonomics) [PSYoungGen: 29601K->0K(58368K)] [ParOldGen: 164347K->170277K(175104K)] 193949K->170277K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0246008 secs] [Times: user=0.11 sys=0.02, real=0.02 secs] 
2020-10-28T18:11:44.647+0800: 0.389: [Full GC (Ergonomics) [PSYoungGen: 29572K->2522K(58368K)] [ParOldGen: 170277K->175094K(175104K)] 199849K->177616K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0231880 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-28T18:11:44.675+0800: 0.417: [Full GC (Ergonomics) [PSYoungGen: 29643K->12404K(58368K)] [ParOldGen: 175094K->174148K(175104K)] 204737K->186553K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0254031 secs] [Times: user=0.16 sys=0.03, real=0.03 secs] 
2020-10-28T18:11:44.703+0800: 0.445: [Full GC (Ergonomics) [PSYoungGen: 29696K->14778K(58368K)] [ParOldGen: 174148K->174836K(175104K)] 203844K->189614K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0267036 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
2020-10-28T18:11:44.731+0800: 0.473: [Full GC (Ergonomics) [PSYoungGen: 29622K->17292K(58368K)] [ParOldGen: 174836K->174283K(175104K)] 204458K->191575K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0243681 secs] [Times: user=0.19 sys=0.01, real=0.03 secs] 
2020-10-28T18:11:44.758+0800: 0.500: [Full GC (Ergonomics) [PSYoungGen: 29350K->18267K(58368K)] [ParOldGen: 174283K->175054K(175104K)] 203633K->193321K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0250646 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
